"file","speaker","io_unit","start_time","end_time","pause_duration","io_duration","genre","glottocode","speaker_age","speaker_sex","synthesis","tone","element","sprach_dauer","part"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",81,196.003,196.681,0.074,0.678,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.604,"part11"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",82,196.681,198.17,0.65,1.489,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.839,"part11"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",83,198.17,199.5,0.55,1.33,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.78,"part11"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",84,199.5,201.449,1.13,1.949,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.819,"part11"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",86,208.41,210.158,0.784,1.748,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.964,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",87,210.158,211.21,0.372,1.052,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.68,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",88,211.21,212.355,0.299,1.145,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.846,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",89,212.355,215.76,2.83,3.405,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.575,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",90,215.76,217.78,0.99,2.02,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.03,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",91,217.78,220.688,1.42,2.908,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.488,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",92,220.688,221.573,0.102,0.885,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.783,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",93,221.573,224.182,0.423,2.609,"traditional narrative","anal1239",80,"m",NA,"yes","a",2.186,"part12"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",95,232.74,237.174,3.033,4.434,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.401,"part13"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",96,237.174,240.547,2.792,3.373,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.581,"part13"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",97,240.547,242.604,0.808,2.057,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.249,"part13"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",98,242.604,244.394,0.421,1.79,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.369,"part13"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",99,244.394,247.434,1.031,3.04,"traditional narrative","anal1239",80,"m",NA,"yes","a",2.009,"part13"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",100,247.434,251.169,2.769,3.735,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.966,"part13"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",102,263.685,266.274,1.154,2.589,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.435,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",103,266.274,266.87,0.356,0.596,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.24,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",104,266.87,268.459,0.274,1.589,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.315,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",105,268.459,269.535,0.276,1.076,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.8,"part14"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",106,269.535,270.524,0.072,0.989,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.917,"part14"
